,address,price
468,"Hillview Avenue, Glasgow, G65",£475 pcm
469,"Greenholme Street, Glasgow, G44",£500 pcm
470,"Luggiebank Road, Kirkintilloch",£375 pcm
471,"Ravenscraig Drive,Glasgow,G53",£325 pcm
472,"Priory Street, Blantyre, South Lanarkshire, G72",£450 pcm
473,"Haywood Street, Glasgow",£550 pcm
474,,
475,"Blantyre Mill Road, Bothwell, Glasgow, G71",£575 pcm
476,"Bulldale Street, Yoker, Glasgow, Lanarkshire, G14",£495 pcm
477,"Townmill Road, Dennistoun, G31 3EU",£495 pcm
478,"Murray Avenue, ",£475 pcm
479,"Abercrombie Crescent, Glasgow",£600 pcm
480,"Dunphail Drive, Glasgow, G34",£425 pcm
481,"Clarkston Road, Muirend, GLASGOW, Lanarkshire, G44",£450 pcm
482,"Ross Place, Rutherglen, South Lanarkshire, G73",£450 pcm
483,"Croftpark Avenue, Croftfoot, Glasgow",£575 pcm
484,"Shettleston Road, Glasgow, G32",£450 pcm
485,"Errogie Street, Glasgow, G34",£425 pcm
486,"Aberfoyle Street, Glasgow, G31",£550 pcm
487,"Baldwin Avenue, Glasgow, G13",£575 pcm
488,"CYPRESS AVENUE, UDDINGSTON",£550 pcm
489,"Crofthill Road, Croftfoot, Glasgow, G44",£595 pcm
490,"Holmlea Road, Cathcart, Glasgow, Lanarkshire, G44",£465 pcm
491,"Town Hill Road, Hamilton, ML3",£425 pcm
492,"Cartside Street, Glasgow, G42",£595 pcm
493,"Sanderson Avenue, Uddingston, G71",£500 pcm
494,"Dumbreck Path, Dumbreck",£550 pcm
495,"Clova Place, Uddingston",£595 pcm
496,"Geddeshill, Calderwood, East Kilbride, South Lanarkshire, G74",£575 pcm
497,"Wardlaw Drive,Rutherglen,Glasgow,G73",£450 pcm
498,"Milnbank Street,Glasgow,G31",£425 pcm
499,,
500,"DUMBARTON ROAD, GLASGOW, G11 6NX",£600 pcm
501,"Deveron Street, Riddire, G33",£600 pcm
502,"Falkland Place,East Kilbride,Glasgow,G74",£450 pcm
503,"Cathcart Road,Glasgow,G42",£525 pcm
504,"SHAWLANDS, LOTHIAN COURT, G41 3BJ ",£525 pcm
505,"Medwin Gardens , East Kilbride, South Lanarkshire, G75",£475 pcm
506,"Arisaig Drive, Mosspark, Glasgow, G52",£550 pcm
507,"Holm Street, Glasgow, G2",£100 pcm
508,"Mannering Court, Shawlands, Glasgow, G41",£495 pcm
509,"Parklands View, Crookston",£575 pcm
510,"Castleton Court - Garage 2, Glasgow",£100 pcm
511,"Alexander Avenue, Eaglesham",£100 pcm
512,"Alexander Avenue, Eaglesham",£100 pcm
513,"Alexander Avenue, Eaglesham",£100 pcm
514,"Broomburn Drive, Glasgow",£95 pcm
515,"Hutton Drive, East Kilbride, Glasgow, G74",£525 pcm
516," Glencroft Road,  Croftfoot, G44",£550 pcm
517,"Main Street, City Centre, Glasgow, G40",£475 pcm
518," 2 Goyle Avenue, Drumchapel, G15 7NU",£495 pcm
519,"Gallowhill Grove, Glasgow, G66",£600 pcm
520,"Scarrel Drive, Glasgow, G45",£550 pcm
521,"Rigby Drive,Glasgow,G32 6EE",£460 pcm
522,"Alexander Avenue, Eaglesham, East Renfrewshire, G76",£550 pcm
523,"Ross Place, East Kilbride",£430 pcm
524,,
525,"Dougray Place, Glasgow, G78",£450 pcm
526,"2 Bed Mid Terrace House, School Lane, Lennoxtown.",£475 pcm
527,"Daniel McLaughlin Place, Kirkintilloch, G66",£600 pcm
528,"Paisley Road West, Cardonald, GLASGOW, Lanarkshire, G52",£475 pcm
529,"Gilmour Street, Eaglesham, Glasgow, G76",£595 pcm
530,"Sadlers Wells Court, East Kilbride",£475 pcm
531,"Greenlaw Court,Glasgow,G14",£575 pcm
532,"Struthers Crescent, Calderwood, East Kilbride, South Lanarkshire, G74",£425 pcm
533,"145 Hamilton Road, Glasgow, G72",£595 pcm
534,"Ross Place, Calderwood, East Kilbride, G74",£450 pcm
535,"ACT286 Blackfriars Road, Glasgow G1 1QG",£525 pcm
536,"1 Bed Furnished Apartment, Argyle St",£595 pcm
537,"Langlands Court, Glasgow, G51",£595 pcm
538,"ACT389 New City Road, Glasgow G4 9DF",£595 pcm
539,"Backbrae Street, Kilsyth",£420 pcm
540,"Gilmour Street, Eaglesham, Glasgow, G76",£595 pcm
541,"Glen Lee, East Kilbride",£395 pcm
542,"Ark Lane,Dennistoun,Glasgow,G31",£550 pcm
543,"Dumbarton Road, Whiteinch, GLASGOW, Lanarkshire, G14",£595 pcm
544,"MANSEWOOD, NETHERCAIRN ROAD, G43 2AA",£550 pcm
545,"Broomknowes Road, Glasgow, G21",£500 pcm
546,"Haystack Place,Lenzie,Kirkintilloch,Glasgow,G66",£575 pcm
547,"Jamaica Street, Glasgow,G1 4QG",£477 pcm
548,"Drummond Hill, Calderwood, East Kilbride, G74",£500 pcm
549,,
550,"New Abbey Road, Gartcosh, GLASGOW, Lanarkshire, G69",£595 pcm
551,"Dumbarton Road, Glasgow, G14",£450 pcm
552,"Ledgate, Kirkintilloch",£325 pcm
553,"Paisley Road West, Glasgow, G51",£350 pcm
554,"Dougray Place, Glasgow, G78",£425 pcm
555,"Daniel Mclaughlin Place,Kirkintilloch,G66",£465 pcm
556,"Craighton Gardens, Glasgow, G66",£450 pcm
557,"Main Street, Uddingston",£595 pcm
558,"Thornwood Quadrant, Glasgow, Lanarkshire, G11",£495 pcm
559,"Baronald Street,Rutherglen,Glasgow,G73",£410 pcm
560,"Greenholm Court , Flat 2/2, Cathcart, Glasgow, G44 4DU",£475 pcm
561,"Elm Bank,Kirkintilloch,Glasgow,G66",£525 pcm
562,"Lloyd Street, Glasgow, G73",£595 pcm
563,BISHOPBRIGS - Springfield Square,£565 pcm
564,"Burns Drive,Kirkintilloch,Glasgow",£495 pcm
565,"Clifford Street,Glasgow,G51",£495 pcm
566,"9 Burnfield Gardens, Giffnock, G46",£600 pcm
567,"Clifford Street, Glasgow",£550 pcm
568,"Castle Court, Glasgow, G66",£550 pcm
569,"5 Sandbank Crescent, Maryhill, Glasgow, G20 0PR",£575 pcm
570,"Heather Grove, East Kilbride",£395 pcm
571,"Loch Awe, East Kilbride",£440 pcm
572," 53 Lindores Drive, East Kilbride, G74 1HJ",£425 pcm
573,"Kingsacre Road, Rutherglen, South Lanarkshire, G73",£575 pcm
574,,
575,"Kingsland Drive, Cardonald, GLASGOW, Lanarkshire, G52",£575 pcm
576,"Main Street, Cambuslang",£425 pcm
577,Plantation Park Gardens,£550 pcm
578," Hill Street, Garnethill, Glasgow, G3",£440 pcm
579,"CROSSHILL, DAISY STREET, G42 8JT",£450 pcm
580,"Dougray Place, Glasgow, G78",£550 pcm
581,"Havannah House, Havannah Street, G4",£581 pcm
582,"Havannah House, Havannah Street, G4",£529 pcm
583,"Copland Road, Ibrox, GLASGOW, Lanarkshire, G51",£595 pcm
584,"Fochabers Drive, Cardonald, GLASGOW, Lanarkshire, G52",£465 pcm
585,"Boswell Drive, Glasgow, G72",£475 pcm
586,"Sydney Drive, East Kilbride",£65 pcm
587,"Station Road, Neilston, Glasgow, East Renfrewshire, G78",£575 pcm
588,"Ballindalloch Drive, Glasgow, G31",£600 pcm
589,BISHOPBRIGGS - Auchinairn Road,£525 pcm
590,"Main Street, East Kilbride, South Lanarkshire, G74",£450 pcm
591,"Loch Road, Kirkintilloch, Glasgow, G66 ",£550 pcm
592,"Mayberry Grange,Glasgow,G72",£500 pcm
593,"Lairds Hill Place, Kilsyth",£475 pcm
594,"Paisley Road, Barrhead",£350 pcm
595,"Ravenscraig Drive, Priesthill, Glasgow, G53",£395 pcm
596,"Sauchiehall Street, Glasgow, G2",£520 pcm
597,"Bankhall Street,Glasgow,G42",£425 pcm
598,"Cloan Avenue, Drumchapel, Glasgow, G15",£575 pcm
599,,
600,"Fleming Way, Hamilton",£425 pcm
601,"Havannah House, Havannah Street, G4",£581 pcm
602,"Havannah House, Havannah Street, G4",£529 pcm
603,"Cowgate, Kirkintilloch, Glasgow, G66",£500 pcm
604,"Haughhead, Strathblane Road, G66",£450 pcm
605,"Baillieston Road, Baillieston, G32 0TG",£575 pcm
606,"Strathcona Place, Rutherglen, Glasgow, South Lanarkshire, G73",£525 pcm
607,"Riccarton, East Kilbride",£65 pcm
608,"69 Buchanan Street, Glasgow, G1 3HL",POA
609,"Kingston Street, Glasgow",£70 pcm
610,"Corrie Road,Kilsyth,Glasgow,G65",£525 pcm
611,"Tay House, 300 Bath Street, Glasgow, G2 4JR",POA
612,"12, 47 Marywood Square, Glasgow, G41",£330 pcm
613,"150 Firhill Court,Glasgow,G20",£455 pcm
614,"150 Firhill Court,Glasgow,G20",£455 pcm
615,Private Car Parking Space in Merchant City.,£100 pcm
616,"CarParkingKennedyStreet Kennedy Street, Glasgow G4 0DP",£75 pcm
617,"Nido St James, 110 St. James Road, Glasgow, G4",£559 pcm
618,"St. James Road, Glasgow, G4",£559 pcm
619,"Wilton Street, Glasgow, Lanarkshire, G20",£340 pcm
620,"Cadder Road , Bishopbriggs , Glasgow , G64 3JL",£125 pcm
621,"Broomhill Industrial Estate , Kilsyth Road, Kirkintilloch, Glasgow , G66 1QF",£150 pcm
622,,
623,,
624,,
